rank,university,score,country,location,twitter_name,id,language,verified,description,n_posts,followers_count,friends_count
22,Scuola Normale Superiore di Pisa,90.345,Italy,Italia,scuolanormale,305449685,it,FALSE,The Scuola Normale Superiore is a centre for teaching and research founded by Napoleon in 1810 as a branch of the École Normale Supérieure in Paris.,9880,9356,420
23,Case Western Reserve University,90.314,USA,"Cleveland, Ohio",cwru,16290017,en,TRUE,Case Western Reserve University. Thinking beyond the possible in 280 characters or less. #CWRU,6901,15103,1009
24,University of Michigan,89.447,USA,"Ann Arbor, MI",UMich,88836132,en,TRUE,"The world needs Victors. This is where they are made. Co〽️e to #Michigan. A world-renowned public institution, fostering excellence for all. #LeadersAndBest",26990,228540,803
25,Boston University,89.443,USA,"Boston, MA",BU_Tweets,104561488,en,TRUE,"The official Twitter feed of Boston University. Join the conversation & follow us to hear about events, announcements & all things #BU!
Email us: social@bu.edu",13362,97532,22184
26,Brown University,89.043,USA,"Providence, Rhode Island",BrownUniversity,14884486,en,TRUE,The official Twitter feed for Brown University. Add your 📷 with #SceneatBrown,24874,180391,536
27,Technical University of Denmark,88.842,Denmark,Greater Copenhagen,DTUtweet,294010596,da,TRUE,Danmarks Tekniske Universitet // Technical University of Denmark // Official Twitter profile. Press: +45 4525 7878 / press@dtu.dk,6017,12101,2046
28,Seoul National University,88.52,Republic of Korea,"Seoul, Korea",SNUnow,317658876,en,FALSE,The latest news from Seoul National University (SNU) Public Relations Team.,134,3209,144
29,Rice University,88.292,USA,"Houston, Texas",RiceUniversity,19720630,en,TRUE,"At Rice, we believe nothing is impossible. We are in constant pursuit of wisdom and commit ourselves to endless exploration.",21180,35129,1173
30,Royal Institute of Technology (KTH),88.173,Sweden,"Stockholm, Sweden",KTHuniversity,1547563471,sv,FALSE,"KTH is one of Europe’s leading technical and engineering universities, home to students, researchers and faculty from around the world.",4025,5466,937
31,University of Edinburgh,87.837,UK,"Edinburgh, United Kingdom",EdinburghUni,23426889,en,TRUE,Influencing the world since 1583. Follow our other accounts: https://t.co/SL2oB6Oet1,7742,110737,359
32,"University of California, Los Angeles",87.674,USA,"Los Angeles, CA",UCLA,18918483,en,TRUE,"Renowned for cutting-edge scientific research, arts and athletics, UCLA is a university dedicated to the health and welfare of the world. Visit https://t.co/GvuyVggQjI",12831,187775,188
33,Pohang University of Science and Technology,87.159,Republic of Korea,"POHANG, Republic of Korea",postech2020,108232814,ko,FALSE,Official Twitter of Pohang University of Science and Technology,2685,1217,2140
34,New York University,86.848,USA,New York,nyuniversity,28421825,en,TRUE,The official Twitter account of New York University—in and of the city; in and of the world. Who's tweeting? https://t.co/jaRtiPTF25,18579,129098,1074
35,Peking University,86.74,China,Beijing,PKU1898,850157859065151488,en,TRUE,Peking University was established in 1898. This account is dedicated to #Peking University’s global outreach and communications.,1159,161739,125
36,Tufts University,86.468,USA,"Medford, MA",TuftsUniversity,15168790,en,TRUE,Tufts is a student-centered research university committed to helping students and faculty generate bold ideas. Retweets do not imply endorsements.,26604,44211,5392
37,University of Wisconsin - Madison,86.418,USA,"Madison, Wis.",UWMadison,15763818,en,TRUE,The great state University of Wisconsin should ever encourage that continual and fearless sifting and winnowing by which alone the truth can be found.,57422,186013,2782
38,King`s College London,86.399,UK,"London, UK",KingsCollegeLon,22624441,en,TRUE,News from King's College London | King’s is a multi-faculty research-led institution & one of the top 10 UK universities in the world | Contact: comms@kcl.ac.uk,7963,98564,1453
39,McGill University,86.373,Canada,"Montréal, Québec, Canada",mcgillu,18065266,en,TRUE,"#McGill offers the best education with excellent research and scholarly activities, in service to society. In beautiful #MTL",31487,135596,5225
40,Wageningen University and Research Center,86.116,Netherlands,"Wageningen, The Netherlands",WUR,20045134,nl,TRUE,Provides education and generates knowledge with a focus on healthy food and living environment. To explore the potential of nature to improve the #QualityofLife,13410,31771,818
42,University of Pittsburgh,86.051,USA,"Pittsburgh, PA",PittTweet,68503423,en,TRUE,The official Twitter account of the University of Pittsburgh. #H2P,14556,46773,1834
42,University of Tokyo,86.051,Japan,Tokyo,UTokyo_News_en,305339576,en,TRUE,"Official Twitter account of the University of Tokyo, Japan's leading university and one of the world's top research institutions. 日本語: @UTokyo_News",2226,7784,11
43,Emory University,85.995,USA,"Atlanta, GA",EmoryUniversity,16438655,en,TRUE,"Official Twitter account for Emory, a private research university of international reach where courageous ideas achieve positive transformation in the world.",9973,48426,684
44,Lund University,85.692,Sweden,"Lund, Sweden",lunduniversity,26267038,en,FALSE,Lund University is the strongest research university in Sweden and ranked among the world’s top 100 universities.,3422,21568,5432
45,Australian National University,85.664,Australia,Canberra,ANUmedia,41699268,en,FALSE,"Twitter feed of ANU Media Office - news, stories, experts & more. Journalist in need of an expert ASAP? Call our hotline +61 2 6125 7979
CRICOS provider 00120C",16874,17445,1389
46,Tsinghua University,85.557,China,Beijing,Tsinghua_Uni,4300743322,en,TRUE,"Tsinghua University is a research university located in Beijing, China, established in 1911.",2704,202438,331
47,University of Bern,85.365,Switzerland,"Hochschulstrasse 6, 3012 Bern",unibern,60514114,de,FALSE,Offizieller Kanal. News rund um die @unibern. Motto: Wissen schafft Wert. Impressum: http://t.co/mZEk7prynb.,7972,10926,141
48,Korea Advanced Institute of Science and Technology (KAIST),85.287,Republic of Korea,"Daejeon, Republic of Korea",kaistpr,1395992863,en,FALSE,"Welcome to a place to share every bit of KAIST.
Official account feed by Public Relations Office.
Tag your tweets with #KAIST for us to retweet :-)",1010,685,62
49,Vanderbilt University,85.054,USA,"Nashville, Tenn.",VanderbiltU,14775752,en,TRUE,@VanderbiltU is the official Twitter account of Vanderbilt University. 3:1 squirrel-to-student ratio. Get social with us: http://t.co/9mhr7PCK4b,18181,51164,2084
50,University of Lausanne,85,Switzerland,Lausanne,unil,227358393,en,FALSE,UNIL | Profil officiel de l'Université de Lausanne. Le savoir vivant. 15600 étudiants. Partenaire institutionnel de #Lausanne2020 #YouthOlympics,6796,18348,4548
51,University of Twente,84.63,Netherlands,"Enschede, Nederland",UTwente,18991614,en,TRUE,"🤖 High Tech Human Touch | 🏆 10 Topopleidingen | 🇬🇧 @utwenteEN | 💼 @utwentejobs | 👥 Anne, Diana, Jamila, Jessica, Jochem, Laurens & Wiebe",15387,44100,1965
52,"University of California, Berkeley",84.502,USA,"Berkeley, California",UCBerkeley,176932593,en,TRUE,"Official account of the University of California, Berkeley. “Bk” stands for Berkelium, one of the 16 elements discovered here.",17910,178869,387
53,Chalmers University of Technology,84.156,Sweden,"Gothenburg, Sweden",chalmersuniv,2492619936,en,FALSE,"Science news in English from Chalmers University of Technology in Gothenburg, Sweden. News in Swedish at @chalmersnyheter",409,1930,74
54,University of Minnesota,84.15,USA,Minneapolis,UMNews,18917572,en,TRUE,The official Twitter account of the University of Minnesota. We're #UMNdriven & #UMNproud!,13183,105461,4759
55,Ludwig Maximilian University of Munich,84.048,Germany,,LMU_Muenchen,91982547,en,TRUE,Offizieller Account der Ludwig-Maximilians-Universität (LMU) München #lmumünchen #universityofmunich Impressum: https://t.co/MGqvDive9k,394,20663,66
56,University of Washington,83.76,USA,Seattle,UW,27103822,en,TRUE,"University of Washington students, faculty and staff believe in boundless opportunities. Do you dare to Be Boundless? At the UW, you can.",15766,160716,1999
57,University of Helsinki,83.736,Finland,"Helsinki, Finland",helsinkiuni,168607383,fi,TRUE,"University of Helsinki - Helsingin yliopisto is Finland’s largest, oldest and internationally most esteemed research university. #HelsinkiUni #WeAreHelsinkiUni",10086,36358,2030
58,University of Zurich,83.631,Switzerland,Zürich,UZH_ch,384753474,de,FALSE,Universität Zürich / University of Zurich. News rund um die Universität Zürich. Tweets in English: @UZH_en,3551,15096,383
59,University of Toronto,83.556,Canada,"Toronto, Ontario, Canada",UofT,821814254,en,TRUE,"Connect with #UofT, Canada's top university and one of the world’s strongest academic & research powerhouses. Find the latest news & events @UofTNews.",13759,66690,1223
60,Nanyang Technological University,83.252,Singapore,Singapore,NTUsg,217313010,en,FALSE,"Official Twitter feed for Nanyang Technological University, Singapore. Follow us for announcements, campus news and event updates.",3952,16724,247
61,University of Southampton,83.011,UK,"University Road, Southampton",unisouthampton,26203004,en,TRUE,"Latest news, research and events from the University of Southampton. Founding member of the Russell Group and ranked among the top 100 universities worldwide.",16979,53816,1738
62,University of Manchester,82.985,UK,Manchester,OfficialUoM,2217874898,en,TRUE,"A university with a reputation for learning and innovation that resonates globally. Online 9am-5pm Monday to Friday.

#HelloUoM",16728,61158,534
63,University of British Columbia,82.932,Canada,Vancouver | Okanagan | Canada,UBC,28453440,en,TRUE,"#UBC is a global centre for research and teaching, ranked among the top 20 public universities in the world. The potential is yours.",25556,56529,4410
64,National University of Singapore,82.807,Singapore,Singapore,NUSingapore,67260538,en,TRUE,"The National University of Singapore is Asia’s leading university with a global approach in education, research and service. (RT, links and likes ≠ endorsement)",3982,32430,96
65,"University of California, San Diego",82.757,USA,"La Jolla, CA",UCSanDiego,338660808,en,TRUE,The official Twitter account for the University of California San Diego. Our most cherished tradition is challenging tradition.,17723,36663,4346
66,Pierre and Marie Curie University (Sorbonne University),82.696,France,"Parigi, Francia",Sorbonne_Univ_,940938863790428160,fr,FALSE,Compte officiel de Sorbonne Université. Une université pluridisciplinaire de recherche intensive en #lettres #medecine #sciences et #ingenierie,2645,7115,471
67,Technical University of Munich,82.65,Germany,"Monaco di Baviera, Baviera",TU_Muenchen,49567644,und,FALSE,"Tweets from the TUM web communications team. 
https://t.co/2UtX6LkR4u | 
https://t.co/jnLqFukIVY | 
https://t.co/H68y9VfhuL
| Imprint: https://t.co/UVKLxs6JDU",2852,28412,365
68,"University of California, Davis",82.631,USA,"Davis, CA",ucdavis,15987188,en,TRUE,"#UCDavis is the home of the Aggies - the go-getters, change makers & problem solvers who are making an impact on the world. #GoAgs!",26968,50536,1061
69,University of North Carolina,82.383,USA,"Chapel Hill, NC",UNC,20683724,en,TRUE,America’s first public university. One of the world's leading research universities. See how we've served N.C. and beyond for more than two centuries at #UNC225,31816,125043,1675
70,Ruprecht Karl University of Heidelberg,82.378,Germany,Heidelberg,UniHeidelberg,145182442,de,FALSE,"Die 1386 gegründete Ruperto Carola ist die älteste Universität Deutschlands und eine der forschungsstärksten in Europa.

Impressum: http://t.co/iEyqDImXAl",4240,16623,63
71,University of Sydney,82.279,Australia,Sydney,Sydney_Uni,20104025,en,TRUE,Students & researchers from all over the world unveiling new insights that change the world around us. RTs≠endorsements. CRICOS#: 00026A,26570,72579,206
72,University of Geneva,82.265,Switzerland,Geneva,UNIGEnews,157980214,fr,FALSE,"Se distingue par un enseignement de qualité et une recherche de pointe. English speaking account: @unige_en 
#unige",13579,27147,1145
73,University of Rochester,82.221,USA,"Rochester, NY",UofR,14778782,en,TRUE,"Official Twitter account for the University of Rochester, offering updates, news, support. Meliora: Ever Better.",17356,47206,4310
74,Shanghai Jiao Tong University,82.177,China,Shanghai,sjtu1896,1112610624930902018,en,FALSE,"Official page for news, stories and interesting updates from SJTU. FB page : https://t.co/pxN45nka8X Instagram : https://t.co/7EnuyB7UXX",147,335,30
75,Tokyo Institute of Technology,82.082,Japan,"Ookayama, Meguro-ku, Tokyo",tokyotech_en,440574690,en,FALSE,This is the official account of Tokyo Institute of Technology (Tokyo Tech).,2218,3086,1
76,Zhejiang University,82.035,China,,ZJU_China,851622726217342977,en,FALSE,https://t.co/PMjgZzqguS,391,1402,198
77,University of Southern California,81.955,USA,"Los Angeles, CA",USC,19809471,en,TRUE,The official Twitter account of the University of Southern California. #USC | #FightOn! Instagram: USCedu,27107,150905,3270
78,University of Bristol,81.943,UK,"Bristol, England",BristolUni,24723695,en,FALSE,Top 10 UK Uni 📚 Leading research 🔬 World-class teaching 👩‍🎓 Vibrant city 🙌,14560,82120,567
79,Fudan University,81.689,China,"shanghai, China",FudanUniversity,286768601,en,FALSE,,53,2132,69
80,Kyoto University,81.609,Japan,"Kyoto, Japan",KyotoU_News,2800929805,en,FALSE,Kyoto University’s official English Twitter account. The following conditions apply. https://t.co/G071tS788a,1284,6363,152
81,University of Alabama Birmingham,81.481,USA,"Birmingham, AL",UABNews,16327689,en,TRUE,Updates from Birmingham's world-renowned research university and health care center: The University of Alabama at Birmingham. Go Blazers! 🐲 #UAB50,23265,24042,1877
82,University of Illinois at Chicago,81.453,USA,"Chicago, IL",thisisUIC,194314756,en,FALSE,A major research university in the heart of one of the world's great cities.,8530,6472,280
83,Georgetown University,81.444,USA,"Washington, D.C.",Georgetown,7856542,en,TRUE,"#Georgetown is a major international, student-centered research institution in Washington DC and the country’s oldest #Catholic, #Jesuit university. Go #Hoyas!",8828,66485,2442
84,Indian Institute of Science,81.393,India,"Bangalore, भारत",iiscbangalore,2773756070,en,TRUE,The official Twitter account of the Indian Institute of Science (IISc),468,47269,45
85,Dartmouth College,81.289,USA,"Hanover, NH",dartmouth,21226678,en,TRUE,The official Twitter account of Dartmouth College! #Dartmouth | #GoBigGreen,19458,74643,2715
86,University of Science and Technology of China,81.222,China,本部安徽合肥，校友遍布全球！,ustc,46843998,zh,FALSE,中国科学技术大学,1289,1486,1
87,Erasmus University Rotterdam,80.873,Netherlands,Rotterdam,erasmusuni,52693210,nl,TRUE,Make it happen.,8906,48830,412
88,University of Melbourne,80.78,Australia,"Melbourne, Australia",unimelb,14862794,en,TRUE,"Come as you are, leave as you want to be. 

CRICOS code: 00116K",32877,98257,1384
89,Georgia Institute of Technology,80.388,USA,"Atlanta, GA",GeorgiaTech,19080617,en,TRUE,The official Twitter account for the Georgia Institute of Technology.,13102,174324,4151
90,London School of Economics and Political Science,80.368,UK,London,LSEnews,155924984,en,TRUE,The official Twitter account of the London School of Economics and Political Science (LSE). What makes you feel #partofLSE? Explore events @LSEpublicevents,18026,91900,1269
91,University of Birmingham,80.332,UK,"Birmingham, UK",unibirmingham,17865542,en,TRUE,Official account for the University of Birmingham. A leading global university that makes important things happen. Tweet and Instagram us with #hellobrum,38569,116758,1093
92,George Washington University,80.317,USA,"Washington, D.C.",GWtweets,28101965,en,TRUE,"The official Twitter account for the George Washington University, a university actively engaging Washington and the world.",9612,54540,1773
93,Rutgers the State University of New Jersey,80.311,USA,New Jersey,RutgersU,19272796,en,TRUE,"Rutgers, The State University of New Jersey, is a leading public research university. Follow us for all things Rutgers.",16640,133393,607
94,Ohio State University,80.263,USA,"Columbus, Ohio",OhioState,18846918,en,TRUE,"The Ohio State University, the highest ranked public university in Ohio, is home to world-class faculty, passionate students & innovative researchers. ⭕🙌",22181,335203,687
95,University of Gottingen,80.149,Germany,"Göttingen, Germany",uniGoettingen,50638548,de,FALSE,"Offizieller Twitteraccount der Uni Göttingen. • Twitter account of University of Göttingen.
• https://t.co/8JWnsSd3UG
• https://t.co/W4K5EymOuj",3448,11842,299
96,Swedish University of Agricultural Sciences,80.134,Sweden,"Uppsala, Umeå, Skara, Alnarp",_SLU,128211584,sv,FALSE,SLU − Sveriges lantbruksuniversitet. Welcome to SLU − Swedish University of Agricultural Sciences. Här twittrar komm.avd. nyheter & evenemang.,3266,6683,271
97,"Ecole Normale Superieure, Lyon",79.992,France,Lyon - France,ENSdeLyon,2549384167,fr,FALSE,Compte officiel de l'École normale supérieure de Lyon,13358,6017,932
98,Radboud University Nijmegen,79.739,Netherlands,"Nijmegen, Netherlands",Radboud_Uni,45826046,nl,FALSE,We want to contribute to a free and healthy world with equal opportunities for all | Best general university of NL | https://t.co/PidgYoffpI,12155,26469,5474
99,Tohoku University,79.661,Japan,"Sendai, Japan",TohokuUniPR,2540701770,en,FALSE,"Tohoku University’s official English Twitter account. 
Official Japanese account is @tohoku_univ.",1021,2960,70
100,Utrecht University,79.582,Netherlands,"Utrecht, The Netherlands",UtrechtUni,33550981,en,FALSE,Utrecht University (The Netherlands) is a large and multifaceted international knowledge centre of academic and scientific excellence. (tweets: press officers),1557,6390,135
101,University of Florida,79.524,USA,"Gainesville, Florida",UF,44168607,en,TRUE,University of Florida — the flagship university of the great state of Florida. https://t.co/nT3azRQpme | https://t.co/Q9yzpdtFrd | https://t.co/iSmn3kUnhX,51000,195628,580
102,University of Bergen,79.35,Norway,Bergen,UiB,17867748,no,FALSE,"Official Twitter account of the University of Bergen, Norway // Edited by the Communication Division",10151,22619,5203
103,University of Miami,79.337,USA,"Coral Gables, Florida",univmiami,15585350,en,TRUE,"A vibrant, talented university community established in 1925. 📷Instagram: univmiami #umiami",8506,90774,464
104,Purdue University,79.095,USA,"West Lafayette, Ind.",LifeAtPurdue,16134525,en,TRUE,"The official Twitter account of Purdue University, home of the Boilermakers! Disclaimer: https://t.co/2rfNrrgZkd",29548,100979,13675
105,University of Queensland Australia,79.084,Australia,Brisbane,UQ_News,17383073,en,TRUE,"News, events, discoveries and student life at The University of Queensland. Monitored by #UQ media during business hours.
CRICOS Code 00025B",46015,82029,2198
106,University of Notre Dame,79.059,USA,"Notre Dame, IN",NotreDame,6507762,en,TRUE,"Official Twitter feed for the University of Notre Dame. A force for good since 1842. For alumni news, visit @NDAlumni. For athletics, visit @FightingIrish.",16277,162896,285
107,Osaka University,79.011,Japan,"Suita, Osaka, Japan",osaka_univ_e,442479642,en,FALSE,"Osaka University's official English language Twitter account. View tweets about news and events. P.S. Normally we won’t tweet replies to questions, etc ;-)",4134,6698,2
108,"National Graduate School of Engineering, Paris",78.997,France,Paris,MINES_ParisTech,68965556,fr,TRUE,Compte officiel de MINES ParisTech-PSL composante de @psl_univ,11818,16628,669
109,University of Warwick,78.632,UK,United Kingdom,warwickuni,15916215,en,TRUE,The university's official Twitter page full of campus info & news. For amazing images & videos - Instagram & YouTube. For staff news & events @warwickinsite,30292,79506,2396
110,Medical University of Vienna,78.561,Austria,"Wien, Österreich",MedUni_Wien,320702172,de,FALSE,Die MedUni Wien ist mit 8.000 Studierenden und 5.500 MitarbeiterInnen die größte Medical School im deutschprachigen Raum,1962,3556,172
111,Michigan State University,78.461,USA,"East Lansing, MI USA",michiganstateu,41346792,en,TRUE,The official Twitter account for Michigan State University. #SpartansWill,14279,242533,185
112,University of Sao Paulo,78.389,Brazil,São Paulo - SP - Brasil,usponline,24241923,pt,TRUE,USP - Universidade de São Paulo,40161,190317,98
113,Universite de Montreal,78.315,Canada,"Montréal, Qc",UMontreal,135178777,fr,FALSE,Compte officiel de l'Université de Montréal. #umontreal,18345,34201,3824
114,University of New South Wales,78.178,Australia,"Sydney, Australia",UNSW,14769030,en,TRUE,"The official UNSW Twitter account, sharing news and events from #UNSW, straight from the Lion's mouth.

CRICOS Provider no. 00098G",9420,50311,1340
115,Lomonosov Moscow State University,78.053,Russia,"Mosca, Russia",MSU_1755,121531148,ru,TRUE,Официальная страница Московского государственного университета (МГУ) имени М.В.Ломоносова,5001,3288,53
116,Chinese University Hong Kong,77.994,Hong Kong,"Sha Tin District, Hong Kong",CUHKofficial,928098400980975616,en,TRUE,The official twitter account for The Chinese University of Hong Kong - CUHK FB@CUHKofficial IG@thechineseuniversityofhongkong YouTube@CUHKchannel,186,3562,528
117,Hebrew University of Jerusalem,77.946,Israel,Jerusalem,HebrewU,54480908,en,TRUE,"Israel's leading academic and research institution, serving 23,500 students from 85 countries.",4409,17671,2291
118,"University of Maryland, College Park",77.807,USA,"College Park, MD",UofMaryland,16129880,en,TRUE,"3 Nobel laureates, 3 Pulitzer recipients, scores of Fulbright scholars, one cute turtle and a bike ride away from our nation's capital! RTs ≠ endorsements.",12350,96445,1330
119,University of St. Andrews,77.803,UK,St Andrews,univofstandrews,19910826,en,TRUE,"University of St Andrews - Scotland's first university. 

UK University of the Year 2020 (Times and Sunday Times Good University Guide 2020) #noplacelikefoam",8436,45817,2119
120,Aarhus University,77.767,Denmark,"Aarhus, Denmark",AarhusUni,224283051,da,TRUE,"Official Aarhus University Twitter. Connects knowledge fans, students and staff. #AarhusUni researchers here https://t.co/c0CHkiCscj",7465,15574,1372
121,University of Groningen,77.655,Netherlands,"Broerstraat 5, Groningen, NL",univgroningen,33535466,nl,FALSE,Official Twitter of the University of Groningen (Rijksuniversiteit Groningen) in the Netherlands. Open academic community since 1614. Tweets ENG&NL. ❤️≠support,21763,54111,1781
122,Free University of Berlin,77.412,Germany,Berlin,FU_Berlin,2152668890,de,TRUE,Offizieller Twitter-Account der Freien Universität Berlin. Tweets aus der Zentralen Online-Redaktion. Impressum: https://t.co/ix7etID84a,8044,17039,727
123,University of Liverpool,77.341,UK,"Liverpool, UK",LivUni,18903739,en,FALSE,One of the UK’s leading research institutions and a centre of world-class teaching and learning. Tweeting weekdays 9am-5pm. #LivOriginal,23085,61998,796
124,Nanjing University,77.301,China,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,RWTH Aachen University,77.27,Germany,"Aachen, Germany",RWTH,928008620,de,TRUE,Das offizielle Twitter-Profil der RWTH Aachen University. Impressum: https://t.co/UZFYkA8Q8d,10065,15049,369
126,McMaster University,77.197,Canada,"Hamilton, ON",McMasterU,57709461,en,TRUE,News and updates from McMaster University.,13041,63914,325
127,University of Calgary,76.913,Canada,"Calgary, Canada",UCalgary,16809022,en,TRUE,Official Twitter account of the University of Calgary. #UCalgary #UCalgaryLife #exploreUCalgary,19342,55610,743
128,University of Utah,76.614,USA,"Salt Lake City, Utah",UUtah,14748679,en,TRUE,"Nestled between the foothills of the Wasatch Mountains & Salt Lake City, the University of Utah excels at research, innovation & student success.",31696,113109,2341
129,Monash University,76.6,Australia,"Melbourne, Australia",MonashUni,15926727,en,TRUE,"Official Twitter of Monash University. 
CRICOS number 00008C",13071,71398,1420
130,National Taiwan University,76.55,Taiwan,NA,NA,NA,NA,NA,NA,NA,NA,NA
131,City University of Hong Kong,76.451,Hong Kong,Hong Kong,CityUHongKong,81070376,en,FALSE,,1014,3089,22
132,Durham University,76.447,UK,Regno Unito,durham_uni,277391629,en,TRUE,"A leading UK university. We offer the inspiration, you achieve the outstanding. Account monitored Mon - Fri, 9am - 5pm GMT #DUinspire",7448,46920,2301
133,Tulane University,76.373,USA,"New Orleans, LA",Tulane,28120277,en,FALSE,The official Twitter account for Tulane University 🌊 Join the conversation: #Tulane | #RollWave,13988,29167,498
134,Autonomous University of Barcelona,76.296,Spain,Bellaterra. Barcelona,UABBarcelona,304338078,ca,TRUE,Twitter oficial de la Universitat Autònoma de Barcelona,24781,46511,293
135,Karlsruhe Institute of Technology,76.295,Germany,Karlsruhe/Germany,KITKarlsruhe,91110697,de,TRUE,Offizieller Account des Karlsruher Instituts für Technologie (KIT). Impressum: https://t.co/gPra9nXpgC. Datenschutz: https://t.co/Wz8PLcuTNJ,7315,25595,1076
136,University of Iowa,76.175,USA,"Iowa City, IA",uiowa,14534931,en,TRUE,"Official University of Iowa account. With more than 200 areas of study, the University of Iowa enrolls 30,000+ students and offers many top-ranked programs.",18330,114774,696
137,Nagoya University,76.166,Japan,,NagoyaUniv,83761255,en,FALSE,,105,271,0
138,University of Western Australia,76.08,Australia,"Perth, Western Australia",uwanews,22742520,en,TRUE,The University of Western Australia - a World Top 100 University. Find an expert: https://t.co/LdCvAhH4mz Tag: #UWA,11708,18653,2753
140,Technische Universitat Dresden (TU Dresden),76.004,Germany,Dresden,tudresden_de,146074105,de,FALSE,"Technische Universität Dresden
Impressum: http://t.co/YYSf2zq4",9370,11855,218
140,University of Nova Gorica,76.004,Slovenia,NA,NA,NA,NA,NA,NA,NA,NA,NA
141,Trinity College Dublin,75.989,Ireland,"Dublin, Ireland",tcddublin,31537951,en,TRUE,Official source of news from Trinity College Dublin. We are Ireland's highest-ranked university with a 425-year history of teaching and research.,23015,60476,5094
142,University of Adelaide,75.846,Australia,"Adelaide, South Australia",UniofAdelaide,22573758,en,TRUE,Make more of every moment by studying at SA's leading university: https://t.co/j0P1qLHqOy CRICOS: 00123M,31500,50329,3956
143,University of Hamburg,75.79,Germany,Hamburg,unihh,66370363,de,TRUE,Hier twittert die Online-Redaktion der Abteilung Öffentlichkeitsarbeit der Universität Hamburg. // Impressum: https://t.co/0kvITcZ78C,7564,18840,298
